Sample_Size,Mean_Probability,Std_Probability,Mean_Error,Std_Error
100,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.06704960338656339
500,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.019430555767515775
1000,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.007024470687510675
2500,0.026726558113419428,0.01942728804042673,0.01942728804042673,0.010442828166649496
5000,0.02183182670987549,0.00963670475865598,0.00963670475865598,0.0055480967631055585
10000,0.01235306048288276,0.0021697610938807245,0.003930669463887172,0.0021697610938807245
25000,0.010510848814334582,0.0004954404938415169,0.0057728811324353506,0.0004954404938415169
