Network,Variables,VE_Prob,Gibbs_Prob_Mean,MAE,Error_Std
Synthetic (3 vars),3,0.5495049504950495,0.5829211886484904,0.033416238153440914,0.013088786413853637
Alarm (4 vars),4,0.016283729946769934,0.0,0.016283729946769934,0.0
Student (5 vars),5,0.8727272727272728,0.8682850253079935,0.02022848820551998,0.004442247419279288
