Network,Variables,VE_Time_Mean,VE_Time_Std,Gibbs_Time_Mean,Gibbs_Time_Std,Speedup
Synthetic (3 vars),3,0.0006594657897949219,0.0001366138458251953,0.22521460056304932,0.02416670322418213,341.5106652205351
Alarm (4 vars),4,0.0016762018203735352,0.00020778179168701172,0.09518837928771973,0.008979320526123047,56.78813740132281
Student (5 vars),5,0.0013608932495117188,0.000156402587890625,0.5069694519042969,0.005213022232055664,372.5269796776454
